Source,Target,Type,Weight
Tomas Roggeman,Peter De Roover,Undirected,3
Theo Francken MP,Kris Verduyckt,Undirected,3
Marie Christine Marghem,Piedboeuf Benoît,Undirected,3
Egbert Lachaert,Koen Geens,Undirected,3
Peter De Roover,Tomas Roggeman,Undirected,3
Katja Gabriëls,Robby De Caluwé,Undirected,3
Tania De Jonge,Vincent Van Quickenborne,Undirected,3
Koen Geens,Egbert Lachaert,Undirected,3
Tania De Jonge,Maggie De Block,Undirected,3
Vincent Van Quickenborne,Tania De Jonge,Undirected,3
Nathalie Muylle,Franky Demon,Undirected,3
Franky Demon,Nathalie Muylle,Undirected,3
Robby De Caluwé,Katja Gabriëls,Undirected,3
Sofie Merckx,Catherine Fonck,Undirected,3
Maggie De Block,Tania De Jonge,Undirected,3
Kris Verduyckt,Theo Francken MP,Undirected,3
Kristof Calvo,Ben Segers,Undirected,2
Michael Freilich,kathleen depoorter,Undirected,2
Guillaume Defossé,Piedboeuf Benoît,Undirected,2
Ben Segers,Kristof Calvo,Undirected,2
Peter De Roover,Frieda Gijbels,Undirected,2
Michael Freilich,Egbert Lachaert,Undirected,2
kathleen depoorter,Michael Freilich,Undirected,2
dieter van besien,Theo Francken MP,Undirected,2
Hans Verreyt,Wouter Vermeersch,Undirected,2
Els Van Hoof,Nahima Lanjri,Undirected,2
Els Van Hoof,Egbert Lachaert,Undirected,2
Wouter De Vriendt,Peter Buysrogge ,Undirected,2
Sofie Merckx,Mathieu Bihet,Undirected,2
Annick Ponthier,Marijke Dillen,Undirected,2
Sophie De Wit,kathleen depoorter,Undirected,2
Wouter Beke,Nathalie Muylle,Undirected,2
Jean Marie Dedecker,Theo Francken MP,Undirected,2
François De Smet,Theo Francken MP,Undirected,2
François De Smet,Catherine Fonck,Undirected,2
Joris Vandenbroucke,Wim Van der Donckt,Undirected,2
Theo Francken MP,dieter van besien,Undirected,2
Egbert Lachaert,Michael Freilich,Undirected,2
Samuel Cogolati,Els Van Hoof,Undirected,2
Joris Vandenbroucke,Tomas Roggeman,Undirected,2
Hervé Rigot,Philippe Goffin,Undirected,2
Philippe Goffin,Hervé Rigot,Undirected,2
Thémont Sophie,Christophe Lacroix,Undirected,2
Catherine Fonck,François De Smet,Undirected,2
Joris De Vriendt,Pieter De Spiegeleer,Undirected,2
Wouter Vermeersch,Hans Verreyt,Undirected,2
Raoul Hedebouw,Nadia Moscufo,Undirected,2
Frieda Gijbels,Peter De Roover,Undirected,2
Theo Francken MP,Jean Marie Dedecker,Undirected,2
Mathieu Bihet,Sophie Wilmès,Undirected,2
Mathieu Bihet,Gilles Vanden Burre,Undirected,2
Peter Buysrogge ,Wouter De Vriendt,Undirected,2
Vincent Van Quickenborne,Peter De Roover,Undirected,2
Mathieu Bihet,Sofie Merckx,Undirected,2
Reccino Van Lommel,Hans Verreyt,Undirected,2
Barbara Pas,Katleen Bury,Undirected,2
Joris Vandenbroucke,Catherine Fonck,Undirected,2
Catherine Fonck,Joris Vandenbroucke,Undirected,2
Nahima Lanjri,Els Van Hoof,Undirected,2
Patrick Prévot,Denis Ducarme,Undirected,2
Tomas Roggeman,Eliane Tillieux,Undirected,2
kathleen depoorter,Sophie De Wit,Undirected,2
Christophe Lacroix,Thémont Sophie,Undirected,2
Egbert Lachaert,Els Van Hoof,Undirected,2
Eliane Tillieux,Tomas Roggeman,Undirected,2
Sophie Wilmès,Mathieu Bihet,Undirected,2
Marijke Dillen,Annick Ponthier,Undirected,2
Gilles Vanden Burre,Mathieu Bihet,Undirected,2
Guillaume Defossé,Kristof Calvo,Undirected,2
Tomas Roggeman,Joris Vandenbroucke,Undirected,2
Nadia Moscufo,Raoul Hedebouw,Undirected,2
Peter De Roover,Vincent Van Quickenborne,Undirected,2
Hans Verreyt,Reccino Van Lommel,Undirected,2
Piedboeuf Benoît,Guillaume Defossé,Undirected,2
Denis Ducarme,Patrick Prévot,Undirected,2
Els Van Hoof,Samuel Cogolati,Undirected,2
Wim Van der Donckt,Joris Vandenbroucke,Undirected,2
Theo Francken MP,François De Smet,Undirected,2
Pieter De Spiegeleer,Joris De Vriendt,Undirected,2
Nathalie Muylle,Wouter Beke,Undirected,2
